index,question,answers
23,How is your life at IIT Mandi? ,"It has been almost 8 months living in IIT Mandi. There are both good and bad points. Let us start with good : There is no pollution.(I come from Delhi so its a major plus for me)The hostel food is okay and there are a few canteens to keep things changing.I reside in south campus, which is almost completely constructed. Hence you wont feel lack of facilities.Wifi speed is okay.It is fully surrounded by mountains so the view is awesome.There are two rivers beside campus (there are ways to them). Whenever you feel out you can go to them.I am not much of a city person so on holidays i mostly go to Continue ReadingIt has been almost 8 months living in IIT Mandi. There are both good and bad points. Let us start with good : There is no pollution.(I come from Delhi so its a major plus for me)The hostel food is okay and there are a few canteens to keep things changing.I reside in south campus, which is almost completely constructed. Hence you wont feel lack of facilities.Wifi speed is okay.It is fully surrounded by mountains so the view is awesome.There are two rivers beside campus (there are ways to them). Whenever you feel out you can go to them.I am not much of a city person so on holidays i mostly go to trek around with friends.Teachers are good. Off course you will not like some of them but it is good. After all we are the only IIT to have more staff than the sanctioned strength.Now comes the bad: The institute is still new and not in a major city you will feel it tough to gather sponsors for any event.(the situation improves every year, we will be having 3 pro nites this Exodia !!).The main city Mandi is around 40 mins from institute thus if you want to hang out at dominos or have good tea/coffee at some cafe you will have to travel at least 80 mins (back and fro).You will feel lack of equipments and space for music club. We feel that Music club room should be bigger with better speakers.If you are a robotronics guy you will mostly not find parts in Mandi and it is a pain. Especially if you to complete something fast. You have to either go to Chandigarh or Delhi (maybe Shimla) to get things done.I have Apple devices and the nearest service centre. is in in Shimla, so if you buy or have replacement you need to go to Shimla.I have not experienced any other difficulty till now. Will update later.My life at IIT Mandi is just awesome. I get a lot of free time and is involved in some projects. Being in new college I get exposure to lot of new projects which are generally done 2nd -3rd yearites. Plus you get the opportunity to be core member of many clubs. Study is good and not at all stressful like JEE. (where 50 percent has to break their a** to get here). We have two quizzes and an end semester. The quiz of an hour and are over in a over a week. Also if you like to do multiple projects but don’t have enough motivation to start new projects , don't worry you have to a project every year to get grades. If you study smartly you can have a CG of 9 above (in 1 sem) easily. For above 9 just attend most classes. And even after all this stuff you can find time to pursue a hobby and play sports. Overall you will be always busy with some stuff or other (if you are not a Maggu/lame). Now for those who are reading this answer to find out placements and all. Look for CS they are just like any other college good. If you are good at coding and have nice outlook you can get a 20–25 easy. For mech guys (like me) have to work hard to get placement. The truth is this is the case all over India there are very few core companies so to get into them is tough. But mech is a branch which you pursue solely for your interest,some guys can get an awesome placement while others may be no. The for mech this year is 17 lac in HOCL (a PSU). Or you can apply of campus to companies like BM and Merc. it is all on you. For electrical I don’t have any reviews but they are more or less like mech guys besides the fact that they are sometimes(mostly) hired by IT giants. Again for internships you need to work hard, they are the same as placement. The only plus point is that we have a semester exchange program where you can to Germany and study a sem there. It is beneficial. EDIT1 : IIT Mandi has been literally very good in tech fests. It has been the number one new IIT in inter IIT tech meets. "
24,How is your life at IIT Mandi? ,"Founded in 2009, IIT Mandi is located in the Shivalik range of Himalayas. IIT Mandi’s vision is to be leader in science and technology education, knowledge creation and innovation, in an India marching towards a just, inclusive and sustainable society.  Campus Insights The Institute’s main campus, called Kamand Campus, is located in the picturesque Uhl river valley at Kamand, which is situated at about 15 kms from the historic town of Mandi in Himachal Pradesh. IIT Mandi is the first among new IITs to develop and use its main campus.  IIT Mandi permanent campus is located at Kamand and is divided i Continue ReadingFounded in 2009, IIT Mandi is located in the Shivalik range of Himalayas. IIT Mandi’s vision is to be leader in science and technology education, knowledge creation and innovation, in an India marching towards a just, inclusive and sustainable society.  Campus Insights The Institute’s main campus, called Kamand Campus, is located in the picturesque Uhl river valley at Kamand, which is situated at about 15 kms from the historic town of Mandi in Himachal Pradesh. IIT Mandi is the first among new IITs to develop and use its main campus.  IIT Mandi permanent campus is located at Kamand and is divided into two parts: South and North Campus. All the 4 B.tech Batches along with some PG students stay at South Campus. Most of the PG students stay at North Campus. The residential campus in the serene landscape by the river Uhl offers a world-class academic environment with a high quality of life in a setting of natural splendor. The main campus of IIT Mandi at Kamand has well equipped class rooms and computing facilities. Good teaching laboratories for Physics, Chemistry, Computer Sciences, Electrical Engineering, Electronics and Mechanical Engineering have been developed at Kamand campus.  Clubs The Tech-savvy students have formed various clubs related to Technology. Some of them are: Robotronics Club: A society which conducts regular workshops and combines the robotics with electronics along with the ""RoboWars"" for the ""Robo"" Freaks. Programming Club: A society ,especially for the coders, to explore new possibilities in programming and to put their skills to test at the same time. All technical clubs are active in organizing seminars and competitions. Many of the students have published research papers along with the faculty members with the assistance of the technical clubs. Societies and Events IIT Mandi witnesses a great participation in all the events conducted by the cultural and literary societies. These societies conduct events regularly for ensuring the development of the cultural and literary skills of the students.  The literary society of IIT Mandi EDLS (English Debating and Literary Society) makes sure that events like Group Discussions,Debates and Just a Minute are organised every two weeks to enhance the communication skills of the students. The Music society, Dramatics society and the Dance society are also very active in conducting competitions and group events with a view to ensure that the students learn the importance of a synchronized effort for victory. The dance, literary and music society participated in Antaragini at IIT Kanpur. Exodia is the annual Tech-Cult Fest of IIT Mandi. The events in Exodia brought together the creative skills and talents of the students and provided an enriching experience to one and all. Management of such a large scale fest is done entirely by students, from cold calling sponsors and inviting participating to real time management of the events. Hostel Facility  IIT Mandi has fully residential campus with the current strength of approximately 1300 students residing in 5 boys’ hostels and 2 girls’ hostels. At present these hostels are situated in the two campuses. The south campus consists four hostels; Prashar hostel, Suvalsar hostel, Nako hostel and Chandra Taal Hostel. The north campus has three hostels; Beas Kund Hostel, Dashir hostel and Gauri Kund hostel and one more is coming up.  Currently there are four messes in the campus, two each in both campuses, that serve food to all hostelers. The food quality and menu in these messes is regularly supervised and controlled by the team of mess secretaries elected by the students body. Besides, There are five to six canteens in campus that gives a variety of food options to students.  IIT Mandi can boast of world class hostel facilities inside the hostels, as all the hostels are equipped with WI-FI internet connection, LCD television, washing machine, cloth dryer, microwave oven, induction heater, refrigerator, electric iron and facilities for indoor games such table tennis, foosball, carom etc. Management of hostel is taken care by the warden and assistant warden with the help of a caretaker. Caretaker is available in the hostel round the clock. Each hostel has its own student general body of student representatives in the form of general secretary, cultural secretary, sports secretary and mess secretary. Sports  Sports occupy the pride of place in the hearts of the students of IIT Mandi.The college organises regular inter hostel and intra hostel sports events to promote the athletes and to encourage the students to improve their physical stamina. IIT Mandi has also participated in Inter IIT sports and has shown its flair in many events like cricket, aquatics, basketball, badminton, football, volleyball and table tennis. IIT Mandi has become the first newer IIT to win bronze medal in Table Tennis Girls. Library IIT Mandi has a Central Library located in the main campus. A growing collection of books and journals in soft and in print forms is housed in the central library. The Library currently houses over 18791 print books, 19622 e-books and provides access to more than 12000 e-journals. The library has also subscribed to e-books from several reputed publishers. The Library also has a very good collection of audio-video materials. All records of the library are accessible on a Web based platform, Web OPAC. So, The students of IIT Mandi love to participate in various co-curricular and extra-curricular activities, thereby ensuring a very strong all round development of their personality. One of the best advantages of being in an IIT with fewer students is that almost all students get to play a very important role in the organizing of various events,thereby honing their managerial skills.Many groups of like minded students have formed various societies in order to pursue their interests. Hope it will help, thanks "
25,How is your life at IIT Mandi? ,"My life in IIT Mandi is revolving around Nature whole days and months. I am in deep love with nature, now. I used to click a small fraction of beauty, which I am going to present here. Sunny Days !! Electrical Engineering Lab  Taken from Central Library  Taken from D1 mess   Playground  Mechanical Workshop Road  Near D2 Mess  Beas Kund River flows in touch with campus  Campus view from top   Taken from Bio Lab  Rainy Days    From Central Library  Below clouds there is a city called Mandi  Below clouds there is a city called Mandi  Afternoon  Night  Dawn  Storm  This November, 2018   Morning Dew into Ice  After 2014, 2019 is Magic Year, A Continue ReadingMy life in IIT Mandi is revolving around Nature whole days and months. I am in deep love with nature, now. I used to click a small fraction of beauty, which I am going to present here. Sunny Days !! Electrical Engineering Lab  Taken from Central Library  Taken from D1 mess   Playground  Mechanical Workshop Road  Near D2 Mess  Beas Kund River flows in touch with campus  Campus view from top   Taken from Bio Lab  Rainy Days    From Central Library  Below clouds there is a city called Mandi  Below clouds there is a city called Mandi  Afternoon  Night  Dawn  Storm  This November, 2018   Morning Dew into Ice  After 2014, 2019 is Magic Year, Again. This year 2019,8th February, IIT Mandi is blissed by God of Snow!!! Here it is written on the nature. From 7th to 9th February, 2019. Starting it with IIT Mandi, South Campus.                                      Now the IIT Mandi, North Campus         #Nature "
26,"How is IIT Mandi CS in terms of campus, placement and college life? ","Before I begin narrating down my answer, I would like to clearly mention that the following is solely my observation and review. If someone has problems, you are most welcome to skip reading the content below. Campus : On a serious note, I feel IIT Mandi doesn’t have a good infrastructure, when compared with all others, in the entire IIT family. One should clearly remember that beautiful hills, mountains, rivers, waterfalls and clouds are not a part of the IIT Mandi campus. They are simply outside the campus and certainly not constructed by the development authorities. Stop saying that IIT Mandi Continue ReadingBefore I begin narrating down my answer, I would like to clearly mention that the following is solely my observation and review. If someone has problems, you are most welcome to skip reading the content below. Campus : On a serious note, I feel IIT Mandi doesn’t have a good infrastructure, when compared with all others, in the entire IIT family. One should clearly remember that beautiful hills, mountains, rivers, waterfalls and clouds are not a part of the IIT Mandi campus. They are simply outside the campus and certainly not constructed by the development authorities. Stop saying that IIT Mandi has a beautiful campus just because of the natural resources present outside the campus and the hilly view is mesmerizing and beautiful. IIT Mandi has simply failed to build a good permanent and a planned campus despite of the fact that ~12 years have passed since its establishment. There are 2 campuses in IIT Mandi - North campus and the South campus. IIT Mandi’s South campus : The South campus is completely temporary in design and construction.The authorities keep on digging up and constructing stuff, again demolishing the same structures and performing the same construction again and this has been repeating for years.Majority of the construction in the south campus is temporary which will be demolished once the new director joins this year.As soon as you enter the south campus, a lot of structures on your left, as you walk towards the ground, are extremely poorly built just like local huts in any remote area and they exist even after years of college establishment.As you enter the South campus and proceed towards the main play-ground, you will find nothing but majority of washrooms on your left and that too poorly maintained and built. Which IIT campus in India, you will find series of washrooms as you soon as you enter the campus.Just at the beginning of the south campus, there is a local canteen called CVR canteen that serves the most unhygienic food on the entire campus. It is more of a provision store and less of a canteen. The level of hygiene here is simply unbearable. The cooks prepare food, take bath and wash clothes in the same kitchen itself. The prepared snacks are kept inside the glass containers full of insects, rodents including cockroaches. There is no cleanliness in the sitting area. I don’t feel such type of canteen should exist in any Indian college or university. They include over 50 different food items but prepare not more than 5 or 6. Any genuine complain against unhygienic setting etc. is not addressed properly. I personally feel, that the canteen is heavily and too much backed up, by the college authorities.Now coming to the ground, which is another spot for never ending construction. The policy they follow is simply to build, demolish and repeat. The authorities construct and demolish the structures again and again. Some issue with the civil department too, I guess.The pathways and the roads inside the South campus are extremely poor in quality and keeps worsening especially during rains.The most irritating part is the construction debris due to the entire campus being dug up again and again. The connecting sanitation and drainage pipelines are just not properly planned and implemented due to which water keeps flowing everywhere and getting collected.There are no proper canteens in the entire South campus where you can have reasonable and quality food. Few of the existing so called canteens operating inside the campus pay hefty amount of revenue to the college authorities which allow them to operate. There is a small stall like canteen called as ‘BulBul’ canteen that will prepare veg maggie and chicken in the same pan messing everything. Recently its owner was fined Rs. 5000 for utter unhygienic environment he has inside. No new vendors are allowed or given permit unless they agree to pay a heavy part of their money to college authorities. You cannot have simple south Indian dishes like dosa, idli, vada or good quality bakery items like burger, hotdog, puffs, pastry & cakes, sandwiches, pizzas etc. There is just one very simple canteen that serves extremely overpriced and very limited food items like desserts and shakes with no food variety at all. There are simply no provisions at all. There are no arrangements for any sort of fast food chains to operate inside the campus unlike all other IITs. Also since the area is remote, there are no hopes from outside the campus as well. You are suppose to travel to Mandi town to enjoy some of the delicacies or survive on maggie and parathas. Personally, I have stopped eating from any the canteens especially CVR and the BulBul.IIT Mandi’s North campus : IIT Mandi’s north campus is the most unplanned and illogical campus that any IIT may possibly have. The entire construction takes place at random and as I previously mentioned that they are still constructing the main sections of the campus even till today.The amount of planning that should have been involved while constructing the main North campus is zero. They constructed hostels right in front of the faculty and staff quarters. Also the architecture and design of the construction looks quite uglier. The buildings have just been whitewashed and the construction authorities still haven’t progressed to painting. There are broken pieces of big rocks and construction debris all over. The drainage pipes run from anywhere to everywhere spilling out water on the pathways and making it a complete mess during rains.Majority of the labs and hostels are still in construction. The existing labs are extremely poor on resources and basic lab facilities. The new lab in which I work is extremely low on seating capacity and system resources. Previously labs operated from the South campus and the situations were the same. The same is the situation for the students of the other departments as well. The college has simply failed to build decent lab and computing facilities even after so many years. Since the construction was poor in logic and design, so is the lab facility in most of the streams. Just placing some old systems & material in a small area does not constitute a premier and state of the art computing lab.There are almost no canteens available on the campus. They have recently opened a fast food outlet called ‘OneBite’ but again the quality and variety is very limited and promising. The college authorities still don’t actively supports the outlet yet. It is extremely surprising to see hygienic and quality checks happening in ‘OneBite’ but not at all in the unhygienic CVR or BulBul Canteen in the South campus just because they may be backed up by certain college authorities.Even it is the main campus of IIT Mandi, still they don’t have any fast-food or traditional Indian style restaurants operating on campus. IIT Roorkee has Subway, PizzaHut, IIT Kanpur has CCD, Dominoes, IIT Bombay has Nescafe and so on. I don’t remember the exact list of the food outlets and restaurants in other IITs as well but IIT Mandi practically has none. Both the campuses of IIT Mandi have no hostel canteens or late night canteens. However I found mess food to be very good in both the IIT campuses. D1 mess in South campus is simply great.There is no quality furniture in the labs, hostels and inside libraries. Also the amount of academic material that should be present inside an IIT library is way less. Since I work in the CSE department, to my utter surprise, the main CSE (MANAS) lab is extremely weak on seating capacities, quality furniture, lab equipments. Most of the system comprises of old material and components and haven’t been upgraded since years. I personally felt that most of the elite and premier schools in Delhi have a much better built computer labs than this, apart from few of the advanced computing facilities currently being integrated or already integrated into. It is surprising to witness a new generation IIT demonstrating so low standards of core computer science lab, despite of completing 10 years of its establishment.Outside the campus : Again, this parameter is disappointing as it is majority of the local people who aim for employment and business due to existing IIT. The restaurants are very local in nature and don’t offer quality and variety in food items. Again the same hygiene issue persists.There are a lot number of provision stores outside. If you visit nearby areas such as Salgi, Katindi or Kamand, you will find 99% of the shops are nothing but provision stores. I expected variety such as garments shop, cafeterias, footwear shops, stationary shops, medical stores etc. But to the utter disappointment, all the locals are operating provision stores.There is not even a single medical store outside the campus. The local food outlets also serve the same thing: tea, coffee, parathas and maggie.The CSE labs and infrastructure is still not sufficient and strong to provide best of the opportunities. The faculty is extremely good and competitive however and one should remember that they are ultimately practising traditional & conventional teaching methodology as well as just doing their job mostly as an another govt. service or duty. Extremely and extremely few of them are really helpful and motivating but others are not and the same story goes for most of the elite Indian engineering campuses. Placements : Placements are extremely good especially for the much coveted CSE stream. Top product based firms hire in good numbers from the campus. Overall extremely competitive placements are offered to its graduates. However core engineering departments still don’t have that great placements and those students opt for software or non-tech profile roles mostly in general. College Life : Personally college life, is not that great due to the lack of hangout zones both inside and outside the campus. Since the area is remote, there are no chill out zones outside too. The sports facilities are below average owning to the limited space of the college campus in the remote area but things are building up gradually. One may join college clubs and societies to participate in more of varied events and activities but the bitter truth is that the excitement and curiosity due to the scenic and appealing natural beauty will fade away in a few months and one may feel sort of trapped inside. The place is ideal for researchers who want a peaceful environment conducive to their work area. Hope that helps and excuse me for typos or grammatical errors, if any. Please upvote if you find it useful. "
27,"How is IIT Mandi CS in terms of campus, placement and college life? ","CS at IIT MANDI is pretty good. As far placements are concerned, avg package is 11-12 LPA.This year one of our student grabbed package at Google,5-7 at Amazon,5-7 at Microsoft.Faculty of CS is very good and experienced.We have our well established permanent campus,so college life is very good. As number of students are not much so one get immense number of opportunities in evry field. "
28,What is the average package of CSE at IIT Mandi? ," About College: The Indian Institute of Technology in Mandi (IIT- Mandi) was established in 2009. During the Eleventh 5- year plan, it was realized that there was a requirement to extend the number of elite institutions in the country. This included the IITs as well whose number till then was miniscule. Thus, 8 new IITswere established, while IT-BHU was upgraded to the IIT status. These new IITshave over a period of time gained in reputation and are fast closing the gap on the top incumbents. Lakhs of students from all over the country enrol themselves over countless hours of coaching classes in Continue Reading About College: The Indian Institute of Technology in Mandi (IIT- Mandi) was established in 2009. During the Eleventh 5- year plan, it was realized that there was a requirement to extend the number of elite institutions in the country. This included the IITs as well whose number till then was miniscule. Thus, 8 new IITswere established, while IT-BHU was upgraded to the IIT status. These new IITshave over a period of time gained in reputation and are fast closing the gap on the top incumbents. Lakhs of students from all over the country enrol themselves over countless hours of coaching classes in order to secure a seat at the IITs. These new IITs are in – Bhubaneshwar, Rupnagar, Gandhinagar, Hyderabad, Indore, Jodhpur, Patna and Mandi. A further few IITs have opened up later, known popularly as the ‘Baby IITs’.  RANKING NationalBy NIRF in 2019 : 20 By NIRF in 2018 : 28 26A By NIRF in 2017 : 28 By Edu Rand in 2015 : In top 40 PLACEMENT STATISTICS  AVERAGE SALARY   RECRUITERS  From above scenario u will have clear all placement record of IIT Mandi. We,at Doubtnut always happy to solve your query:) "
29,What is the average package of CSE at IIT Mandi? ," About College: The Indian Institute of Technology in Mandi (IIT- Mandi) was established in 2009. During the Eleventh 5- year plan, it was realized that there was a requirement to extend the number of elite institutions in the country. This included the IITs as well whose number till then was miniscule. Thus, 8 new IITswere established, while IT-BHU was upgraded to the IIT status. These new IITshave over a period of time gained in reputation and are fast closing the gap on the top incumbents. Lakhs of students from all over the country enrol themselves over countless hours of coaching classes in Continue Reading About College: The Indian Institute of Technology in Mandi (IIT- Mandi) was established in 2009. During the Eleventh 5- year plan, it was realized that there was a requirement to extend the number of elite institutions in the country. This included the IITs as well whose number till then was miniscule. Thus, 8 new IITswere established, while IT-BHU was upgraded to the IIT status. These new IITshave over a period of time gained in reputation and are fast closing the gap on the top incumbents. Lakhs of students from all over the country enrol themselves over countless hours of coaching classes in order to secure a seat at the IITs. These new IITs are in – Bhubaneshwar, Rupnagar, Gandhinagar, Hyderabad, Indore, Jodhpur, Patna and Mandi. A further few IITs have opened up later, known popularly as the ‘Baby IITs’.  RANKING NationalBy NIRF in 2019 : 20 By NIRF in 2018 : 28 26A By NIRF in 2017 : 28 By Edu Rand in 2015 : In top 40 PLACEMENT STATISTICS  AVERAGE SALARY   RECRUITERS  From above scenario u will have clear all placement record of IIT Mandi. We,at Doubtnut always happy to solve your query:) "
30,What is the average package of CSE at IIT Mandi? ,"Average Package of CSE revolves around 10-11 Lakh. For other branches, it decreases progressively, comes to about 6.5-7 Lakhs. Highest domestic package recorded was Rs. 40 LPA and highest International Package offered was by Google, which stood at Rs. 1.06 Crores. upvote if helpful and follow "
31,What is the current placement scenario at IIT Mandi? ,"I am unaware of the overall placement scenario, but there’s this guy called Shubham Ajmera who happens to be the son of my father’s colleague, who completed his B.Tech, Computer Science from IIT Mandi and bagged an all-time high package from Google, a whopping 1.7 Crore!  The point I wanna draw is, y Continue ReadingI am unaware of the overall placement scenario, but there’s this guy called Shubham Ajmera who happens to be the son of my father’s colleague, who completed his B.Tech, Computer Science from IIT Mandi and bagged an all-time high package from Google, a whopping 1.7 Crore!  The point I wanna draw is, your college’s newness doesn’t matter. Opportunity knocks on all doors, be good enough to grab it. :) "
32,What is the current placement scenario at IIT Mandi? ,"It has been almost 8 months living in IIT Mandi. There are both good and bad points. Let us start with good : There is no pollution.(I come from Delhi so its a major plus for me)The hostel food is okay and there are a few canteens to keep things changing.I reside in south campus, which is almost compContinue ReadingIt has been almost 8 months living in IIT Mandi. There are both good and bad points. Let us start with good : There is no pollution.(I come from Delhi so its a major plus for me)The hostel food is okay and there are a few canteens to keep things changing.I reside in south campus, which is almost completely constructed. Hence you wont feel lack of facilities.Wifi speed is okay.It is fully surrounded by mountains so the view is awesome.There are two rivers beside campus (there are ways to them). Whenever you feel out you can go to them.I am not much of a city person so on holidays i mostly go to trek around with friends.Teachers are good. Off course you will not like some of them but it is good. After all we are the only IIT to have more staff than the sanctioned strength.Now comes the bad: The institute is still new and not in a major city you will feel it tough to gather sponsors for any event.(the situation improves every year, we will be having 3 pro nites this Exodia !!).The main city Mandi is around 40 mins from institute thus if you want to hang out at dominos or have good tea/coffee at some cafe you will have to travel at least 80 mins (back and fro).You will feel lack of equipments and space for music club. We feel that Music club room should be bigger with better speakers.If you are a robotronics guy you will mostly not find parts in Mandi and it is a pain. Especially if you to complete something fast. You have to either go to Chandigarh or Delhi (maybe Shimla) to get things done.I have Apple devices and the nearest service centre. is in in Shimla, so if you buy or have replacement you need to go to Shimla.I have not experienced any other difficulty till now. Will update later.My life at IIT Mandi is just awesome. I get a lot of free time and is involved in some projects. Being in new college I get exposure to lot of new projects which are generally done 2nd -3rd yearites. Plus you get the opportunity to be core member of many clubs. Study is good and not at all stressful like JEE. (where 50 percent has to break their a** to get here). We have two quizzes and an end semester. The quiz of an hour and are over in a over a week. Also if you like to do multiple projects but don’t have enough motivation to start new projects , don't worry you have to a project every year to get grades. If you study smartly you can have a CG of 9 above (in 1 sem) easily. For above 9 just attend most classes. And even after all this stuff you can find time to pursue a hobby and play sports. Overall you will be always busy with some stuff or other (if you are not a Maggu/lame). Now for those who are reading this answer to find out placements and all. Look for CS they are just like any other college good. If you are good at coding and have nice outlook you can get a 20–25 easy. For mech guys (like me) have to work hard to get placement. The truth is this is the case all over India there are very few core companies so to get into them is tough. But mech is a branch which you pursue solely for your interest,some guys can get an awesome placement while others may be no. The for mech this year is 17 lac in HOCL (a PSU). Or you can apply of campus to companies like BM and Merc. it is all on you. For electrical I don’t have any reviews but they are more or less like mech guys besides the fact that they are sometimes(mostly) hired by IT giants. Again for internships you need to work hard, they are the same as placement. The only plus point is that we have a semester exchange program where you can to Germany and study a sem there. It is beneficial. EDIT1 : IIT Mandi has been literally very good in tech fests. It has been the number one new IIT in inter IIT tech meets. "
33,Should I take electrical in IIT Mandi or electrical in IIT Jodhpur? ,"IIT Jodhpur and Mandi both opened around the same time and have evolved in their own ways. While it would be best to contact a 3rd/4th year UG of IIT Mandi electrical to know more about the branch there.. I can assure you that Electrical is THE MOST CHILL branch here in Jodhpur. We have ample of faculty members in various areas of specialization along with well equipped Power Systems, Power Electronics, Analog/Digital Electronics and Machines lab. Also as Ansh has pointed out, we have already shifted into our very own permanent campus and it comes with its perks and many seniors have cracked var Continue ReadingIIT Jodhpur and Mandi both opened around the same time and have evolved in their own ways. While it would be best to contact a 3rd/4th year UG of IIT Mandi electrical to know more about the branch there.. I can assure you that Electrical is THE MOST CHILL branch here in Jodhpur. We have ample of faculty members in various areas of specialization along with well equipped Power Systems, Power Electronics, Analog/Digital Electronics and Machines lab. Also as Ansh has pointed out, we have already shifted into our very own permanent campus and it comes with its perks and many seniors have cracked various Graduate level exams GRE, GATE, CAT etc. and the placement is also quite decent. However, one piece of advice - if you want to opt for Department Change solely and have ABSOLUTELY NO interest in Electrical whatsoever then you should consider Mandi as the branch change criteria there is of about 50%. :D G "
34,Should I take electrical in IIT Mandi or electrical in IIT Jodhpur? ,"I was getting EE in all the second generation IITs except Indore and gandhinagar and I choose Mandi over others ( including Jodhpur ) due to the following reasons. 1 - EE at IIT Mandi have some really good faculties. Many of them have contacts with industry and can help you in getting internship offers and good research projects if you are interested. 2 - IIT Mandi is considered as a hub for electronics. The new microchip fabrication lab ( I forgot the exact name ) is so advanced and is responsible for some great research works that are currently happening in india. 3 - You have a good freedom on Continue ReadingI was getting EE in all the second generation IITs except Indore and gandhinagar and I choose Mandi over others ( including Jodhpur ) due to the following reasons. 1 - EE at IIT Mandi have some really good faculties. Many of them have contacts with industry and can help you in getting internship offers and good research projects if you are interested. 2 - IIT Mandi is considered as a hub for electronics. The new microchip fabrication lab ( I forgot the exact name ) is so advanced and is responsible for some great research works that are currently happening in india. 3 - You have a good freedom on choosing courses, after the core courses, you are free to do whatever course you want. 4 - Campus. I never wanted a city life and as you might have heard or seen, IIT Mandi is one of the most beautiful campuses in india. But I suggest you to make a decision based on the above facts rather than a beautiful campus. The above points might be true for IIT Jodhpur too now. But three years ago when I was filling options, I felt IIT Mandi is the best for me. "
35,"What should be my preference among mechanical at IIT Mandi, Jodhpur, Patna, Electrical at Dhanbad or newer IITs or CSE at IIT Jammu? ","You should choose mechanical at IIT Mandi because of many reasons. 1 IIT Mandi is one of the fastest growing institute. We have a very beautiful campus.   2 Placements at iit Mandi are very good. You can see our recruiters. And the number of companies coming to our college increases every year because of our curriculum.  3 International exposure- Students from our college get an opportunity to study abroad under the semester exchange programme. They can go to Germany, Finland and even to old IITs. 4 Different Clubs- a. Gustaakh Saale- The dramatic society of IIT Mandi the drama club of iit Mandi is amo Continue ReadingYou should choose mechanical at IIT Mandi because of many reasons. 1 IIT Mandi is one of the fastest growing institute. We have a very beautiful campus.   2 Placements at iit Mandi are very good. You can see our recruiters. And the number of companies coming to our college increases every year because of our curriculum.  3 International exposure- Students from our college get an opportunity to study abroad under the semester exchange programme. They can go to Germany, Finland and even to old IITs. 4 Different Clubs- a. Gustaakh Saale- The dramatic society of IIT Mandi the drama club of iit Mandi is among the best of all the IITs . It has got 3rd position in the Inter IIT Cultural Meet. b. Literary society which organises events like debating, writing etc. c. Dance Club (UDC). d. Music club We have many technical clubs also like programming club, Robotronics club, Space technology and astronomy club, Nirmaan Club etc. Thanks for reading. "
36,"What should be my preference among mechanical at IIT Mandi, Jodhpur, Patna, Electrical at Dhanbad or newer IITs or CSE at IIT Jammu? ","Hi there! Well, first of all, you are most likely not going to get the right answer to such questions as students (mostly 2nd-year students) are just gonna promote their institute without having any knowledge of the rival institute you are asking for the comparison. It is always better to gain info about each institute and then consider. I can provide you with some advantages of being in IIT Jodhpur. We have got amazing student friendly mechanical faculty. One of the main advantages that I feel is the IIP(Industry Immersion Program) where students can get an internship in the first year itself  Continue ReadingHi there! Well, first of all, you are most likely not going to get the right answer to such questions as students (mostly 2nd-year students) are just gonna promote their institute without having any knowledge of the rival institute you are asking for the comparison. It is always better to gain info about each institute and then consider. I can provide you with some advantages of being in IIT Jodhpur. We have got amazing student friendly mechanical faculty. One of the main advantages that I feel is the IIP(Industry Immersion Program) where students can get an internship in the first year itself which continues till the third year which is quite useful for the exposure and placement. Apart from these technicalities, the students are provided with independent air cooled rooms so you get your privacy and never face any problem with the temperature outside. For more details about IIT Jodhpur, ping me any time. "
37,"What should be my preference among mechanical at IIT Mandi, Jodhpur, Patna, Electrical at Dhanbad or newer IITs or CSE at IIT Jammu? ","You can get confused with all these answers, so my advice is to note down all bold points/important points and then compare them. Also list out the exclusive features that a institute offers which no one else does, because all av package, staff, facilities, companies in these IITs are similar and not gonna make a huge difference. Things like IIP is provided by IIT JODHPUR only and by far it's the only program which gives 3 year of internship and this much huge industrial contact. Also residential qualities like 24*7 AC SINGLE rooms, right from your first year. Ayush Gupta's answer to Which is b Continue ReadingYou can get confused with all these answers, so my advice is to note down all bold points/important points and then compare them. Also list out the exclusive features that a institute offers which no one else does, because all av package, staff, facilities, companies in these IITs are similar and not gonna make a huge difference. Things like IIP is provided by IIT JODHPUR only and by far it's the only program which gives 3 year of internship and this much huge industrial contact. Also residential qualities like 24*7 AC SINGLE rooms, right from your first year. Ayush Gupta's answer to Which is better: electrical engineering at ISM or Mandi and Jodhpur? I would also advise to talk to seniors. Ping me if you want to know anything else or if you want to contact anyone from any branch of IITJ. "
38,"What should be my preference among mechanical at IIT Mandi, Jodhpur, Patna, Electrical at Dhanbad or newer IITs or CSE at IIT Jammu? ","It completely depends on you! Try looking out more about each branch and Figure out which branch interests you or more specifically, which subjects in a branch interests you. You can always choose a new IIT, especially IIT Jammu if you want a better branch. DONOT judge it by it's openings and closings(ranks). My personal opinion is that Dhanbad is a better institute among all those listed Hope this helps! Message me for more queries "
39,"What should be my preference among mechanical at IIT Mandi, Jodhpur, Patna, Electrical at Dhanbad or newer IITs or CSE at IIT Jammu? ","Firstly, don’t go for newest IITs(2016) as they lack infrastructure, alumni base etc. Regarding your preference order: IIT PatnaISM DhanbadIIT MandiIIT JodhpurIIT Patna is rising rapidly and has locational advantage over Dhanbad. Infrastructure of IIT Patna is superb and better than others. Please don’t go on Patna stereotype. "
